country,order_value_EUR,cost,date,category,customer_name,sales_manager,sales_rep,device_type,order_id
Spain,81412.1,64747.04,11/6/2019,Electronics,Johns and Sons,Emalia Dinse,Bertha Walbrook,PC,67-3929836
Portugal,121318.55,102890.26,3/10/2020,Electronics,"Jacobson, Marvin and Brown",Celine Tumasian,Aurelie Wren,Tablet,48-0713329
France,55804.05,46401.07,3/5/2019,Electronics,"Rowe, Hermiston and Kessler",Othello Bowes,Crysta Halls,PC,57-6995715
Portugal,84767.77,68950.1,1/18/2020,Electronics,McGlynn-Bergstrom,Celine Tumasian,Smitty Culverhouse,Mobile,20-3441688
Portugal,143107.89,121241.0,11/2/2020,Electronics,Kirlin and Sons,Celine Tumasian,Hortense Gerring,Mobile,18-0704377
Portugal,136324.9,110436.8,10/29/2019,Electronics,Walter LLC,Celine Tumasian,Hortense Gerring,Tablet,76-2572347
France,224626.25,189988.88,7/21/2020,Electronics,"Christiansen, Donnelly and Bechtelar",Othello Bowes,Ora Grennan,PC,69-1300467
France,144640.8,118345.1,4/11/2019,Electronics,"Murray, Reichel and Nolan",Othello Bowes,Avrit Chanders,PC,77-7771177
Sweden,53593.86,45629.81,7/12/2020,Electronics,Friesen-Rath,Maxie Marrow,Caro Morfield,PC,71-4409662
France,107586.21,94525.24,6/7/2020,Electronics,"Spencer, Rogahn and Muller",Othello Bowes,Amelina Piscopiello,PC,20-3384992
Ireland,135424.06,116275.1,1/15/2020,Electronics,"Hamill, Kulas and Roob",Glenine Suttaby,Palm Wetherald,PC,43-4245267
Germany,92868.37,79068.13,3/30/2020,Electronics,"Fisher, Morar and Skiles",Rickard Doogood,Casie MacBain,PC,88-8436664
Ireland,84877.87,68454.0,12/1/2019,Electronics,"Zieme, Bailey and Herzog",Glenine Suttaby,Bunnie Tonbridge,PC,30-8840089
Sweden,239423.57,199152.52,12/8/2019,Electronics,"Hamill, Kulas and Roob",Maxie Marrow,Madelon Bront,Mobile,94-1762263
Portugal,28859.73,23656.32,1/9/2019,Electronics,Larkin-Collier,Celine Tumasian,Corene Shirer,Mobile,82-0537890
Sweden,70596.7,60564.91,2/9/2020,Electronics,Hilll-Vandervort,Maxie Marrow,Alyosha Meah,PC,51-0685379
UK,126979.62,105113.73,9/26/2019,Electronics,Dibbert Inc,Jessamine Apark,Genevra Charrisson,PC,15-5051694
France,69126.5,55902.6,12/8/2019,Electronics,"Farrell, Swaniawski and Crist",Othello Bowes,Avrit Chanders,PC,07-3201531
Sweden,20226.11,17408.61,2/23/2019,Electronics,Larkin-Collier,Maxie Marrow,Caro Morfield,PC,21-3278349
Portugal,118321.11,94822.54,11/23/2020,Electronics,Tillman and Sons,Celine Tumasian,Aurelie Wren,Tablet,20-7636879
UK,154715.49,126572.74,10/23/2020,Electronics,Smith Group,Jessamine Apark,Genevra Charrisson,PC,46-1054213
Sweden,92877.57,75936.7,4/5/2020,Electronics,Wisoky Inc,Maxie Marrow,Madelon Bront,Mobile,40-9497268
Sweden,157683.41,130624.94,6/8/2019,Electronics,Hegmann Group,Maxie Marrow,Alyosha Meah,Tablet,17-0893784
France,56106.13,45081.27,3/12/2020,Electronics,"Rowe, Hermiston and Kessler",Othello Bowes,Amelina Piscopiello,PC,24-3140242
Bulgaria,147672.87,129110.39,10/15/2019,Electronics,Homenick-Marvin,Charil Alpe,Bernadine Fullagar,PC,81-7970957
Portugal,165696.9,132275.84,10/22/2020,Electronics,Franecki-White,Celine Tumasian,Aurelie Wren,PC,03-0455038
Portugal,148037.71,117867.62,4/14/2020,Electronics,Romaguera-Dietrich,Celine Tumasian,Corene Shirer,PC,10-5899580
Ireland,55539.67,45620.29,3/21/2020,Electronics,Altenwerth-Konopelski,Glenine Suttaby,Palm Wetherald,PC,10-9241948
Portugal,100469.75,82566.04,5/17/2019,Electronics,Johns and Sons,Celine Tumasian,Aurelie Wren,PC,80-2242820
